ss_id,latitude_rounded,longitude_rounded,llsoacd,orientation,tilt,kwp,operational_at
2694,53.5,-2.43,E01005736,200.0,25.0,3.42,2011-08-31
2695,50.75,-1.89,E01015357,157.0,26.0,2.35,2011-08-31
2696,52.27,-2.15,E01032359,60.0,40.0,1.88,2011-08-25
2697,53.17,0.1,E01026100,195.0,30.0,1.61,2011-09-01
2698,53.17,0.1,E01026100,195.0,30.0,1.38,2011-09-01
2699,53.17,0.1,E01026100,195.0,30.0,1.84,2011-09-01
2700,51.78,-1.38,E01028786,195.0,39.0,2.28,2011-08-02
2701,53.08,-0.14,E01026075,175.0,30.0,3.68,2011-08-03
2702,53.08,-0.14,E01026075,175.0,34.0,1.61,2011-08-05
2703,53.08,-0.14,E01026075,175.0,34.0,1.61,2011-08-05
2704,53.08,-0.14,E01026075,175.0,28.0,2.53,2011-08-05
2705,52.9,-0.53,E01026332,180.0,35.0,3.22,2011-09-02
2706,50.75,-1.83,E01015341,188.0,35.0,2.35,2011-09-05
2707,52.9,-0.21,E01026242,200.0,30.0,2.76,2011-09-05
2708,52.77,-0.63,E01026339,180.0,35.0,3.22,2011-09-06
2709,53.51,-2.4,E01005717,205.0,25.0,3.42,2011-09-06
2710,52.08,-1.92,E01032352,210.0,30.0,1.96,2011-09-07
2711,50.96,-0.07,E01021023,205.0,20.0,3.96,2011-09-07
2712,52.63,-1.1,E01013662,230.0,30.0,2.16,2011-09-07
2713,51.73,-2.53,E01022255,190.0,30.0,2.52,2011-09-07
2714,51.31,-2.23,E01032091,160.0,30.0,2.88,2011-09-07
2715,56.04,-3.35,S00109165,195.0,30.0,3.92,2011-09-07
2716,53.17,-1.59,E01019610,180.0,35.0,3.43,2011-09-07
2717,56.03,-4.79,S00094651,210.0,30.0,1.85,2011-09-07
2718,56.2,-3.15,S00110771,160.0,30.0,3.92,2012-05-02
2719,51.78,0.44,E01021540,210.0,40.0,1.47,2011-09-08
2720,51.45,0.02,E01003280,170.0,37.0,3.96,2011-09-08
2721,55.94,-4.31,S00101581,180.0,30.0,2.5,2011-09-07
2722,52.29,-1.89,E01032267,240.0,30.0,3.92,2011-09-09
2723,50.43,-4.8,E01019036,220.0,35.0,3.92,2011-09-09
2724,56.0,-2.77,S00101784,178.0,40.0,4.0,2011-09-09
2725,53.84,-1.73,E01010685,164.0,30.0,3.42,2011-09-12
2726,51.55,-1.89,E01031964,165.0,30.0,2.66,2011-09-12
2727,51.39,-1.38,E01016302,135.0,45.0,3.96,2011-09-12
2728,51.6,-1.8,E01015471,190.0,45.0,3.42,2011-09-12
2729,51.61,-0.24,E01000258,180.0,45.0,2.0,2011-10-05
2730,50.41,-4.83,E01019053,180.0,35.0,3.92,2011-09-09
2731,51.37,-2.14,E01032067,186.0,32.0,3.42,2011-09-14
2732,51.35,-1.98,E01031850,220.0,30.0,2.88,2011-09-14
2733,53.88,-3.02,E01025603,225.0,30.0,3.92,2011-09-14
2734,57.36,-2.08,S00092799,175.0,32.0,3.06,2011-09-14
2735,51.75,-2.57,E01022232,110.0,35.0,3.25,2011-09-14
2736,52.31,-1.52,E01031287,220.0,30.0,2.34,2011-09-15
2737,52.69,1.21,E01026519,130.0,35.0,1.75,2011-09-14
2738,52.69,1.21,E01026519,225.0,35.0,2.25,2011-09-14
2739,52.69,1.21,E01026519,130.0,35.0,3.0,2011-09-14
2740,52.68,1.21,E01026565,180.0,35.0,1.5,2011-09-14
2741,52.69,1.21,E01026519,180.0,35.0,1.5,2011-09-14
2742,52.68,1.21,E01026565,180.0,35.0,2.0,2011-09-14
2743,52.68,1.21,E01026565,180.0,35.0,1.5,2011-09-14
2744,52.65,1.25,E01026864,180.0,35.0,3.0,2011-09-14
2745,52.61,1.26,E01026813,145.0,35.0,4.0,2011-09-14
2746,51.61,-0.17,E01000318,135.0,35.0,4.0,2011-09-14
2747,53.46,-2.11,E01005970,200.0,25.0,3.42,2011-09-27
2748,51.62,-0.3,E01002112,220.0,35.0,3.0,2011-09-14
2749,53.36,-2.83,E01006429,184.0,35.0,3.42,2011-09-14
2750,50.75,-2.01,E01015397,195.0,38.0,3.92,2011-09-14
2751,50.84,-0.38,E01031823,170.0,45.0,3.92,2011-09-14
2752,52.3,-1.88,E01032276,170.0,30.0,2.0,2011-09-15
2753,51.07,-1.05,E01022627,180.0,20.0,3.96,2011-09-15
